Semana,Tupuca
2018-10-21,0
2018-10-28,66
2018-11-04,91
2018-11-11,30
2018-11-18,0
2018-11-25,0
2018-12-02,52
2018-12-09,0
2018-12-16,0
2018-12-23,42
2018-12-30,86
2019-01-06,0
2019-01-13,0
2019-01-20,28
2019-01-27,28
2019-02-03,39
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,36
2019-03-17,31
2019-03-24,0
2019-03-31,39
2019-04-07,32
2019-04-14,0
2019-04-21,100
2019-04-28,46
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,48
2019-06-02,0
2019-06-09,49
2019-06-16,76
2019-06-23,37
2019-06-30,78
2019-07-07,46
2019-07-14,25
2019-07-21,0
2019-07-28,89
2019-08-04,0
2019-08-11,0
2019-08-18,68
2019-08-25,16
2019-09-01,34
2019-09-08,0
2019-09-15,46
2019-09-22,17
2019-09-29,70
2019-10-06,32
2019-10-13,36
2019-10-20,29
2019-10-27,24
2019-11-03,49
2019-11-10,31
2019-11-17,27
2019-11-24,21
2019-12-01,17
2019-12-08,24
2019-12-15,29
2019-12-22,39
2019-12-29,67
2020-01-05,17
2020-01-12,42
2020-01-19,16
2020-01-26,48
2020-02-02,0
2020-02-09,23
2020-02-16,0
2020-02-23,22
2020-03-01,0
2020-03-08,56
2020-03-15,0
2020-03-22,40
2020-03-29,35
2020-04-05,30
2020-04-12,22
2020-04-19,73
2020-04-26,45
2020-05-03,31
2020-05-10,50
2020-05-17,0
2020-05-24,64
2020-05-31,34
2020-06-07,27
2020-06-14,31
2020-06-21,54
2020-06-28,29
2020-07-05,73
2020-07-12,26
2020-07-19,59
2020-07-26,60
2020-08-02,28
2020-08-09,83
2020-08-16,27
2020-08-23,74
2020-08-30,0
2020-09-06,27
2020-09-13,0
2020-09-20,34
2020-09-27,21
2020-10-04,61
2020-10-11,36
2020-10-18,21
2020-10-25,35
2020-11-01,41
2020-11-08,44
2020-11-15,28
2020-11-22,35
2020-11-29,30
2020-12-06,39
2020-12-13,42
2020-12-20,28
2020-12-27,27
2021-01-03,83
2021-01-10,76
2021-01-17,37
2021-01-24,24
2021-01-31,26
2021-02-07,21
2021-02-14,23
2021-02-21,0
2021-02-28,25
2021-03-07,46
2021-03-14,43
2021-03-21,41
2021-03-28,21
2021-04-04,0
2021-04-11,35
2021-04-18,25
2021-04-25,0
2021-05-02,30
2021-05-09,57
2021-05-16,23
2021-05-23,22
2021-05-30,36
2021-06-06,23
2021-06-13,17
2021-06-20,38
2021-06-27,49
2021-07-04,15
2021-07-11,0
2021-07-18,0
2021-07-25,21
2021-08-01,32
2021-08-08,0
2021-08-15,23
2021-08-22,0
2021-08-29,20
2021-09-05,0
2021-09-12,0
2021-09-19,54
2021-09-26,15
2021-10-03,24
2021-10-10,17
2021-10-17,37
2021-10-24,14
2021-10-31,28
2021-11-07,0
2021-11-14,15
2021-11-21,32
2021-11-28,26
2021-12-05,0
2021-12-12,26
2021-12-19,21
2021-12-26,0
2022-01-02,36
2022-01-09,0
2022-01-16,0
2022-01-23,26
2022-01-30,39
2022-02-06,0
2022-02-13,28
2022-02-20,14
2022-02-27,27
2022-03-06,15
2022-03-13,22
2022-03-20,32
2022-03-27,17
2022-04-03,0
2022-04-10,0
2022-04-17,11
2022-04-24,12
2022-05-01,16
2022-05-08,10
2022-05-15,11
2022-05-22,11
2022-05-29,13
2022-06-05,0
2022-06-12,17
2022-06-19,0
2022-06-26,0
2022-07-03,27
2022-07-10,11
2022-07-17,35
2022-07-24,0
2022-07-31,14
2022-08-07,19
2022-08-14,0
2022-08-21,0
2022-08-28,14
2022-09-04,12
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,32
2022-10-09,0
2022-10-16,0
2022-10-23,19
2022-10-30,27
2022-11-06,20
2022-11-13,10
2022-11-20,0
2022-11-27,9
2022-12-04,0
2022-12-11,0
2022-12-18,17
2022-12-25,12
2023-01-01,21
2023-01-08,22
2023-01-15,14
2023-01-22,14
2023-01-29,15
2023-02-05,25
2023-02-12,13
2023-02-19,16
2023-02-26,0
2023-03-05,16
2023-03-12,21
2023-03-19,0
2023-03-26,8
2023-04-02,0
2023-04-09,10
2023-04-16,0
2023-04-23,13
2023-04-30,14
2023-05-07,33
2023-05-14,0
2023-05-21,18
2023-05-28,0
2023-06-04,9
2023-06-11,10
2023-06-18,0
2023-06-25,22
2023-07-02,43
2023-07-09,10
2023-07-16,0
2023-07-23,13
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,24
2023-09-03,0
2023-09-10,19
2023-09-17,11
2023-09-24,0
2023-10-01,11
2023-10-08,24
2023-10-15,0
